"Authorize","Autoriser"
"Authorize and Capture","Autoriser et Capturer"
"Payment Action","Action de Paiement"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Choisissez si vous souhaitez uniquement autoriser les paiements ou les autoriser et les capturer immédiatement. Remarque : La pré-autorisation (option Autoriser) n'est prise en charge que pour les paiements par carte, pas pour MBWay ou Multibanco."
"Authorized Status","Statut Autorisé"
"Captured Status","Statut Capturé"
"Test","Test"
"Production","Production"
"Callback signature verification failed","La vérification de la signature de rappel a échoué"
"Something went wrong while processing the payment. Quote was restored.","Une erreur s'est produite lors du traitement du paiement. Le panier a été restauré."
"Something went wrong while processing the payment. Cannot restore previous quote.","Une erreur s'est produite lors du traitement du paiement. Impossible de restaurer le panier précédent."
"Payment was canceled. Quote was restored.","Le paiement a été annulé. Le panier a été restauré."
"Duplicated","Dupliqué"
"Fraudulent","Frauduleux"
"Requested by customer","Demandé par le client"
"Required parameter ""%1"" is missing or empty.","Le paramètre requis ""%1"" est manquant ou vide."
"MONEI - Pending","MONEI - En attente"
"MONEI - Authorized","MONEI - Autorisé"
"MONEI - Expired","MONEI - Expiré"
"MONEI - Failed","MONEI - Échoué"
"MONEI - Succeeded","MONEI - Réussi"
"MONEI - Partially Refunded","MONEI - Partiellement Remboursé"
"MONEI - Refunded","MONEI - Remboursé"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","La raison d'annulation '%1' n'est pas valide. Raisons autorisées : %2"
"%1 should be numeric value","%1 doit être une valeur numérique"
"Refund reason","Motif du remboursement"
"Pay with Monei","Payer avec MONEI"
"method:","Méthode"
"last4:","4 derniers chiffres"
"brand:","Marque"
"phoneNumber:","Numéro de téléphone"
"Cardholder","Titulaire de la carte"
"Payment Method","Méthode de paiement"
"Digital Wallet","Portefeuille numérique"
"Issuing Bank","Banque émettrice"
"Phone Number","Numéro de téléphone"
"Country","Pays"
"Country Code","Code pays"
"Required parameters are missing. Cannot proceed with cancellation.","Des paramètres requis sont manquants. Impossible de procéder à l'annulation."
"MONEI payment cancellation failed: %1","L'annulation du paiement MONEI a échoué : %1"
"MONEI payment cancellation failed. Please check the logs for more details.","L'annulation du paiement MONEI a échoué. Veuillez consulter les journaux pour plus de détails."
"The order has been successfully canceled.","La commande a été annulée avec succès."
"Order cancellation failed: %1","L'annulation de la commande a échoué : %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","Une erreur inattendue s'est produite lors de l'annulation du paiement. Veuillez consulter les journaux pour plus de détails."
"Invalid request: %1","Requête invalide : %1"
"Payment required: %1","Paiement requis : %1"
"Resource not found: %1","Ressource non trouvée : %1"
"Operation conflict: %1","Conflit d'opération : %1"
"Validation error: %1","Erreur de validation : %1"
"An error occurred during the payment process","Une erreur s'est produite pendant le processus de paiement"
"Please enter the name on the card.","Veuillez saisir le nom figurant sur la carte."
"Please enter the name exactly as it appears on the card.","Veuillez saisir le nom exactement comme il apparaît sur la carte."
"(Test Mode)","(Mode Test)"
"Payment ID","ID de Paiement"
"Authorization Code","Code d'Autorisation"
"Cardholder Email","Email du Titulaire"
"IBAN","IBAN"
"Account Holder","Titulaire du Compte"
"MONEI","MONEI"
"Current Version","Version Actuelle"
"Webservice Settings:","Paramètres du Webservice :"
"Mode","Mode"
"To define if we are going to connect with production or testing WS environment","Pour définir si nous allons nous connecter à l'environnement de production ou de test"
"Test Account Id","ID de Compte de Test"
"Production Account Id","ID de Compte de Production"
"Test Api Key","Clé API de Test"
"Production Api Key","Clé API de Production"
"Language","Langue"
"Basic settings:","Paramètres de base :"
"Email Settings:","Paramètres d'Email :"
"Send Order Email","Envoyer Email de Commande"
"Send Invoice Email","Envoyer Email de Facture"
"Controls whether to send order confirmation emails after payment is confirmed","Contrôle si les emails de confirmation de commande sont envoyés après la confirmation du paiement"
"Controls whether to send invoice emails for automatically created invoices. Does not affect manually created invoices, for which merchants can choose to notify customers during creation.","Contrôle si les emails de facture sont envoyés pour les factures créées automatiquement. N'affecte pas les factures créées manuellement, pour lesquelles les marchands peuvent choisir de notifier les clients lors de la création."
"MONEI Redirect:","Redirection MONEI :"
"Enable","Activer"
"Title","Titre"
"Description","Description"
"Payment from Applicable Countries","Paiement depuis les Pays Applicables"
"Payment from Specific Countries","Paiement depuis des Pays Spécifiques"
"Sort Order","Ordre de Tri"
"MONEI Card Insite:","Carte MONEI sur Site :"
"Enable tokenization","Activer la tokenisation"
"Json style","Style Json"
"MONEI Bizum Insite:","Bizum MONEI sur Site :"
"MONEI Google and Apple Pay Insite:","Google et Apple Pay MONEI sur Site :"
"Title Google Pay","Titre Google Pay"
"Title Apple Pay","Titre Apple Pay"
"Title Multibanco","Titre Multibanco"
"Title MBWay","Titre MBWay"
"Multibanco Redirect:","Redirection Multibanco :"
"MBWay Redirect:","Redirection MBWay :"
"MONEI PayPal Insite:","PayPal MONEI sur Site :"
"Select 'Yes' if you want to enable this payment method. Otherwise 'No'.","Sélectionnez 'Oui' si vous souhaitez activer cette méthode de paiement. Sinon 'Non'."
"Text that will be displayed in checkout","Texte qui sera affiché lors du paiement"
"Text that will be displayed in checkout for Google Pay","Texte qui sera affiché lors du paiement pour Google Pay"
"Text that will be displayed in checkout for Apple Pay","Texte qui sera affiché lors du paiement pour Apple Pay"
"Text that will be displayed in checkout for Multibanco","Texte qui sera affiché lors du paiement pour Multibanco"
"Text that will be displayed in checkout for MBWay","Texte qui sera affiché lors du paiement pour MBWay"
"Small description that will be displayed in checkout (Under title)","Petite description qui sera affichée lors du paiement (Sous le titre)"
"Selectable with all the processing order statuses","Sélectionnable avec tous les statuts de commande en traitement"
"Selectable with all the pending order statuses","Sélectionnable avec tous les statuts de commande en attente"
"In which order the payment method will be displayed in checkout","Dans quel ordre la méthode de paiement sera affichée lors du paiement"
"Are you certain you want to cancel this order? This action will automatically cancel the authorized (uncaptured) payment and release the customer's funds.","Êtes-vous certain de vouloir annuler cette commande ? Cette action annulera automatiquement le paiement autorisé (non capturé) et libérera les fonds du client."
"Cancel the order","Annuler la commande"
"Never mind","Peu importe"
"Cancel","Annuler"
"Cancellation reason","Motif d'annulation"
"MONEI API key is not configured. Please set it in the module configuration.","La clé API MONEI n'est pas configurée. Veuillez la définir dans la configuration du module."
"Custom json style for the card component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Style json personnalisé pour le composant carte. Voir plus d'informations <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">ici</a>"
"Custom json style for the bizum component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Style json personnalisé pour le composant bizum. Voir plus d'informations <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">ici</a>"
"Custom json style for the google and apple component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Style json personnalisé pour le composant google et apple. Voir plus d'informations <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">ici</a>"
"Allowed Countries","Pays Autorisés"
"Checking payment status...","Vérification du statut du paiement..."
"Checking payment status, it may take a few seconds...","Vérification du statut du paiement, cela peut prendre quelques secondes..."
"Loading","Chargement"
"Payment error: %1","Erreur de paiement : %1"
"Payment error with code %1: %2","Erreur de paiement avec le code %1 : %2"
"Payment was canceled by the customer or the payment processor","Le paiement a été annulé par le client ou le processeur de paiement"
"Payment expired","Paiement expiré"
"Transaction approved","Transaction approuvée"
"Service internal error. Please contact support","Erreur interne du service. Veuillez contacter le support"
"Transaction failed during payment processing","La transaction a échoué pendant le traitement du paiement"
"Transaction declined by the card-issuing bank","Transaction refusée par la banque émettrice de la carte"
"Transaction declined by the issuing bank","Transaction refusée par la banque émettrice"
"Payment method not allowed","Méthode de paiement non autorisée"
"Wrong or not allowed currency","Devise incorrecte ou non autorisée"
"Card rejected: invalid card number","Carte rejetée : numéro de carte invalide"
"Card rejected: wrong expiration date","Carte rejetée : date d'expiration incorrecte"
"Card rejected: wrong CVC/CVV2 number","Carte rejetée : numéro CVC/CVV2 incorrect"
"Card number not registered","Numéro de carte non enregistré"
"Card is expired","La carte est expirée"
"Strong Customer Authentication required","Authentification forte du client requise"
"3D Secure authentication failed","L'authentification 3D Secure a échoué"
"Authentication process timed out. Please try again","Le processus d'authentification a expiré. Veuillez réessayer"
"Transaction declined due to insufficient funds","Transaction refusée en raison de fonds insuffisants"
"The user has canceled the payment","L'utilisateur a annulé le paiement"
"Unknown error code: %1","Code d'erreur inconnu : %1"
"You do not have permission to save this configuration.","Vous n'avez pas la permission de sauvegarder cette configuration."
"Invalid JSON format in %1 field: %2. Please ensure that you provide valid JSON. Examples:
                - For a simple style: {"height":"45px"}
                - For nested properties: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Make sure all property names and string values are enclosed in double quotes
                - No trailing commas allowed after the last property","Format JSON invalide dans le champ %1 : %2. Veuillez vous assurer de fournir un JSON valide. Exemples :
                - Pour un style simple : {"height":"45px"}
                - Pour des propriétés imbriquées : {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Assurez-vous que tous les noms de propriétés et les valeurs de chaînes sont entre guillemets doubles
