"Authorize","Autoryzuj"
"Authorize and Capture","Autoryzuj i Pobierz"
"Payment Action","Akcja Płatności"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Wybierz, czy tylko autoryzować płatności, czy autoryzować i pobierać je natychmiast. Uwaga: Wstępna autoryzacja (opcja Autoryzuj) jest obsługiwana tylko dla płatności kartą, nie dla MBWay lub Multibanco."
"Authorized Status","Status Autoryzacji"
"Captured Status","Status Pobrania"
"Test","Test"
"Production","Produkcja"
"Callback signature verification failed","Weryfikacja podpisu wywołania zwrotnego nie powiodła się"
"Something went wrong while processing the payment. Quote was restored.","Coś poszło nie tak podczas przetwarzania płatności. Koszyk został przywrócony."
"Something went wrong while processing the payment. Cannot restore previous quote.","Coś poszło nie tak podczas przetwarzania płatności. Nie można przywrócić poprzedniego koszyka."
"Payment was canceled. Quote was restored.","Płatność została anulowana. Koszyk został przywrócony."
"Duplicated","Zduplikowany"
"Fraudulent","Oszukańczy"
"Requested by customer","Na żądanie klienta"
"Required parameter ""%1"" is missing or empty.","Wymagany parametr ""%1"" jest brakujący lub pusty."
"MONEI - Pending","MONEI - Oczekujące"
"MONEI - Authorized","MONEI - Autoryzowane"
"MONEI - Expired","MONEI - Wygasłe"
"MONEI - Failed","MONEI - Nieudane"
"MONEI - Succeeded","MONEI - Udane"
"MONEI - Partially Refunded","MONEI - Częściowo Zwrócone"
"MONEI - Refunded","MONEI - Zwrócone"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","Powód anulowania '%1' jest nieprawidłowy. Dozwolone powody: %2"
"%1 should be numeric value","%1 powinno być wartością liczbową"
"Refund reason","Powód zwrotu"
"Pay with Monei","Zapłać z MONEI"
"method:","metoda:"
"last4:","ostatnie 4:"
"brand:","marka:"
"phoneNumber:","numer telefonu:"
"Cardholder","Posiadacz karty"
"Payment Method","Metoda Płatności"
"Digital Wallet","Portfel Cyfrowy"
"Issuing Bank","Bank Wydający"
"Phone Number","Numer Telefonu"
"Country","Kraj"
"Country Code","Kod Kraju"
"Required parameters are missing. Cannot proceed with cancellation.","Brakuje wymaganych parametrów. Nie można kontynuować anulowania."
"MONEI payment cancellation failed: %1","Anulowanie płatności MONEI nie powiodło się: %1"
"MONEI payment cancellation failed. Please check the logs for more details.","Anulowanie płatności MONEI nie powiodło się. Sprawdź logi, aby uzyskać więcej szczegółów."
"The order has been successfully canceled.","Zamówienie zostało pomyślnie anulowane."
"Order cancellation failed: %1","Anulowanie zamówienia nie powiodło się: %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","Wystąpił nieoczekiwany błąd podczas anulowania płatności. Sprawdź logi, aby uzyskać więcej szczegółów."
"Invalid request: %1","Nieprawidłowe żądanie: %1"
"Payment required: %1","Wymagana płatność: %1"
"Resource not found: %1","Zasób nie znaleziony: %1"
"Operation conflict: %1","Konflikt operacji: %1"
"Validation error: %1","Błąd walidacji: %1"
"An error occurred during the payment process","Wystąpił błąd podczas procesu płatności"
"Please enter the name on the card.","Wprowadź imię i nazwisko na karcie."
"Please enter the name exactly as it appears on the card.","Wprowadź imię i nazwisko dokładnie tak, jak widnieje na karcie."
"(Test Mode)","(Tryb Testowy)"
"Payment ID","ID Płatności"
"Authorization Code","Kod Autoryzacji"
"Cardholder Email","Email Posiadacza Karty"
"IBAN","IBAN"
"Account Holder","Posiadacz Konta"
"MONEI","MONEI"
"Current Version","Aktualna Wersja"
"Webservice Settings:","Ustawienia Usługi Sieciowej:"
"Mode","Tryb"
"To define if we are going to connect with production or testing WS environment","Aby określić, czy połączymy się z produkcyjnym czy testowym środowiskiem WS"
"Test Account Id","ID Konta Testowego"
"Production Account Id","ID Konta Produkcyjnego"
"Test Api Key","Klucz API Testowego"
"Production Api Key","Klucz API Produkcyjnego"
"Language","Język"
"Basic settings:","Podstawowe ustawienia:"
"Email Settings:","Ustawienia Email:"
"Send Order Email","Wyślij Email Zamówienia"
"Send Invoice Email","Wyślij Email Faktury"
"Controls whether to send order confirmation emails after payment is confirmed","Kontroluje, czy wysyłać emaile potwierdzające zamówienie po potwierdzeniu płatności"
"Controls whether to send invoice emails for automatically created invoices. Does not affect manually created invoices, for which merchants can choose to notify customers during creation.","Kontroluje, czy wysyłać emaile z fakturami dla automatycznie utworzonych faktur. Nie wpływa na ręcznie utworzone faktury, dla których sprzedawcy mogą wybrać powiadomienie klientów podczas tworzenia."
"MONEI Redirect:","Przekierowanie MONEI:"
"Enable","Włącz"
"Title","Tytuł"
"Description","Opis"
"Payment from Applicable Countries","Płatność z Odpowiednich Krajów"
"Payment from Specific Countries","Płatność z Określonych Krajów"
"Sort Order","Kolejność Sortowania"
"MONEI Card Insite:","MONEI Karta Na Miejscu:"
"Enable tokenization","Włącz tokenizację"
"Json style","Styl Json"
"MONEI Bizum Insite:","MONEI Bizum Na Miejscu:"
"MONEI Google and Apple Pay Insite:","MONEI Google i Apple Pay Na Miejscu:"
"Title Google Pay","Tytuł Google Pay"
"Title Apple Pay","Tytuł Apple Pay"
"Title Multibanco","Tytuł Multibanco"
"Title MBWay","Tytuł MBWay"
"Multibanco Redirect:","Przekierowanie Multibanco:"
"MBWay Redirect:","Przekierowanie MBWay:"
"MONEI PayPal Insite:","MONEI PayPal Na Miejscu:"
"Select 'Yes' if you want to enable this payment method. Otherwise 'No'.","Wybierz 'Tak', jeśli chcesz włączyć tę metodę płatności. W przeciwnym razie 'Nie'."
"Text that will be displayed in checkout","Tekst, który będzie wyświetlany w kasie"
"Text that will be displayed in checkout for Google Pay","Tekst, który będzie wyświetlany w kasie dla Google Pay"
"Text that will be displayed in checkout for Apple Pay","Tekst, który będzie wyświetlany w kasie dla Apple Pay"
"Text that will be displayed in checkout for Multibanco","Tekst, który będzie wyświetlany w kasie dla Multibanco"
"Text that will be displayed in checkout for MBWay","Tekst, który będzie wyświetlany w kasie dla MBWay"
"Small description that will be displayed in checkout (Under title)","Mały opis, który będzie wyświetlany w kasie (pod tytułem)"
"Selectable with all the processing order statuses","Wybieralny ze wszystkimi statusami przetwarzania zamówienia"
"Selectable with all the pending order statuses","Wybieralny ze wszystkimi oczekującymi statusami zamówienia"
"In which order the payment method will be displayed in checkout","W jakiej kolejności metoda płatności będzie wyświetlana w kasie"
"Are you certain you want to cancel this order? This action will automatically cancel the authorized (uncaptured) payment and release the customer's funds.","Czy na pewno chcesz anulować to zamówienie? Ta akcja automatycznie anuluje autoryzowaną (niepobraną) płatność i zwolni środki klienta."
"Cancel the order","Anuluj zamówienie"
"Never mind","Nieważne"
"Cancel","Anuluj"
"Cancellation reason","Powód anulowania"
"MONEI API key is not configured. Please set it in the module configuration.","Klucz API MONEI nie jest skonfigurowany. Ustaw go w konfiguracji modułu."
"Custom json style for the card component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Niestandardowy styl json dla komponentu karty. Zobacz więcej informacji <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">tutaj</a>"
"Custom json style for the bizum component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Niestandardowy styl json dla komponentu bizum. Zobacz więcej informacji <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">tutaj</a>"
"Custom json style for the google and apple component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Niestandardowy styl json dla komponentu google i apple. Zobacz więcej informacji <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">tutaj</a>"
"Allowed Countries","Dozwolone Kraje"
"Checking payment status...","Sprawdzanie statusu płatności..."
"Checking payment status, it may take a few seconds...","Sprawdzanie statusu płatności, może to zająć kilka sekund..."
"Loading","Ładowanie"
"Payment error: %1","Błąd płatności: %1"
"Payment error with code %1: %2","Błąd płatności z kodem %1: %2"
"Payment was canceled by the customer or the payment processor","Płatność została anulowana przez klienta lub procesor płatności"
"Payment expired","Płatność wygasła"
"Transaction approved","Transakcja zatwierdzona"
"Service internal error. Please contact support","Wewnętrzny błąd usługi. Skontaktuj się z pomocą techniczną"
"Transaction failed during payment processing","Transakcja nie powiodła się podczas przetwarzania płatności"
"Transaction declined by the card-issuing bank","Transakcja odrzucona przez bank wydający kartę"
