"Authorize","Autorizar"
"Authorize and Capture","Autorizar y Capturar"
"Payment Action","Acción de Pago"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Elija si solo desea autorizar los pagos o autorizarlos y capturarlos inmediatamente. Nota: La preautorización (opción Autorizar) solo es compatible con pagos con tarjeta, no con MBWay o Multibanco."
"Authorized Status","Estado Autorizado"
"Captured Status","Estado Capturado"
"Test","Test"
"Production","Producción"
"Callback signature verification failed","La verificación de la firma devuelta en el Callback falló"
"Something went wrong while processing the payment. Quote was restored.","Hubo un error procesar el pago. Su carrito ha sido recuperado."
"Something went wrong while processing the payment. Cannot restore previous quote.","Hubo un error procesar el pago. Su carrito no ha podido ser recuperado."
"Payment was canceled. Quote was restored.","El pago ha sido cancelado. Su carrito ha sido recuperado."
"Duplicated","Duplicado"
"Fraudulent","Fraudulento"
"Requested by customer","Solicitado por el cliente"
"Required parameter ""%1"" is missing or empty.","Falta el parámetro requerido ""%1"" o está vacío."
"MONEI - Pending","MONEI - Pendiente"
"MONEI - Authorized","MONEI - Autorizado"
"MONEI - Expired","MONEI - Expirado"
"MONEI - Failed","MONEI - Fallido"
"MONEI - Succeeded","MONEI - Exitoso"
"MONEI - Partially Refunded","MONEI - Reembolsado Parcialmente"
"MONEI - Refunded","MONEI - Reembolsado"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","El motivo de cancelación '%1' no es válido. Motivos permitidos: %2"
"%1 should be numeric value","%1 debe ser un valor númerico"
"Refund reason","Motivo de la devolución"
"Pay with Monei","Pagar con MONEI"
"An error occurred rendering the pay with card. Please try again later.","Ha ocurrido un error al renderizar el pago con tarjeta. Por favor, inténtelo de nuevo más tarde."
"Name on card","Nombre del titular de la tarjeta"
"Card number","Número de tarjeta"
"Save payment information to my account for future purchases","Guardar información del pago en mi cuenta para futuras compras"
"An error occurred trying save the card.","Un error ocurrió al intentar guardar la tarjeta."
"expires","expira"
"It is not possible to make the payment with the saved card.","No es posible realizar el pago con la tarjeta guardada."
"Save MONEI tokenization?","¿Guardar tokenización de MONEI?"
"Please enter the name on the card.","Introduzca el nombre que figura en la tarjeta."
"Please enter the name exactly as it appears on the card.","Introduzca el nombre tal y como aparece en la tarjeta."
"Monei payment methods are not available. Please, check your Monei configuration.","Los métodos de pago MONEI no están disponibles. Por favor, compruebe su configuración de MONEI."
"Bizum payment method is not available in your Monei account. Please enable it in your Monei account to use it.","El método de pago Bizum no está disponible en su cuenta de MONEI. Por favor, habilítelo en su cuenta de MONEI para poder usarlo."
"Card payment method is not available in your Monei account. Please enable it in your Monei account to use it.","El método de pago tarjeta no está disponible en su cuenta de MONEI. Por favor, habilítelo en su cuenta de MONEI para poder usarlo."
"Google Pay and Apple Pay payment methods are not available in your Monei account. Enable at least one of them in your Monei account to use it.","Los métodos de pago Google Pay y Apple Pay no están disponibles en su cuenta de MONEI. Habilite al menos uno de ellos en su cuenta de MONEI para poder usarlo."
"Multibanco payment method is not available in your Monei account. Please enable it in your Monei account to use it.","El método de pago de Multibanco no está disponible en su cuenta de MONEI. Por favor, habilítelo en su cuenta de MONEI para poder usarlo."
"MBWay payment method is not available in your Monei account. Please enable it in your Monei account to use it.","El método de pago de MBWay no está disponible en su cuenta de MONEI. Por favor, habilítelo en su cuenta de MONEI para poder usarlo."
"(Test Mode)","(Modo de Prueba)"
"method:","Método"
"last4:","Últimos 4 digitos"
"brand:","Tipo"
"phoneNumber:","Teléfono"
"Cardholder","Titular de la tarjeta"
"Payment Method","Método de pago"
"Digital Wallet","Monedero digital"
"Issuing Bank","Banco emisor"
"Phone Number","Número de teléfono"
"Country","País"
"Country Code","Código de País"
"Required parameters are missing. Cannot proceed with cancellation.","Faltan parámetros obligatorios. No se puede proceder con la cancelación."
"MONEI payment cancellation failed: %1","La cancelación de pago de MONEI ha fallado: %1"
"MONEI payment cancellation failed. Please check the logs for more details.","La cancelación de pago de MONEI ha fallado. Por favor, consulte los registros para más detalles."
"The order has been successfully canceled.","El pedido se ha cancelado correctamente."
"Order cancellation failed: %1","La cancelación del pedido ha fallado: %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","Se produjo un error inesperado durante la cancelación del pago. Por favor, consulte los registros para más detalles."
"An error occurred during the payment process","Se produjo un error durante el proceso de pago"
"Payment ID","ID de Pago"
"Authorization Code","Código de Autorización"
"Cardholder Email","Email del Titular"
"IBAN","IBAN"
"Account Holder","Titular de la Cuenta"
"MONEI","MONEI"
"Current Version","Versión Actual"
"Webservice Settings:","Configuración del Servicio Web:"
"Mode","Modo"
"To define if we are going to connect with production or testing WS environment","Para definir si vamos a conectar con el entorno de producción o de pruebas"
"Test Account Id","ID de Cuenta de Prueba"
"Production Account Id","ID de Cuenta de Producción"
"Test Api Key","Clave API de Prueba"
"Production Api Key","Clave API de Producción"
"Language","Idioma"
"Basic settings:","Configuración Básica:"
"Email Settings:","Configuración de Email:"
"Send Order Email","Enviar Email de Pedido"
"Send Invoice Email","Enviar Email de Factura"
"Controls whether to send order confirmation emails after payment is confirmed","Controla si se envían emails de confirmación de pedido después de confirmar el pago"
"Controls whether to send invoice emails for automatically created invoices. Does not affect manually created invoices, for which merchants can choose to notify customers during creation.","Controla si se envían emails de factura para facturas creadas automáticamente. No afecta a las facturas creadas manualmente, para las cuales los comerciantes pueden elegir notificar a los clientes durante la creación."
"MONEI Redirect:","Redirección de MONEI:"
"Enable","Habilitar"
"Title","Título"
